Region,TPU type,Price,Spot price
us-central1,tpu-v2-8,4.5,1.35
us-central1,tpu-v2-32,24,7.2
us-central1,tpu-v2-128,96,28.8
us-central1,tpu-v2-256,192,57.6
us-central1,tpu-v2-512,384,115.2
us-central1,tpu-v3-8,8,2.4
us-east1,tpu-v3-32,32,9.6
us-east1,tpu-v3-64,64,19.2
us-east1,tpu-v3-128,128,38.4
us-east1,tpu-v3-256,256,76.8
us-east1,tpu-v3-512,512,153.6
us-east1,tpu-v3-1024,1024,307.2
us-east1,tpu-v3-2048,2048,614.4
europe-west4,tpu-v2-8,4.95,1.485
europe-west4,tpu-v2-32,24,7.2
europe-west4,tpu-v2-128,96,28.8
europe-west4,tpu-v2-256,192,57.6
europe-west4,tpu-v2-512,384,115.2
europe-west4,tpu-v3-8,8.8,2.64
europe-west4,tpu-v3-32,32,9.6
europe-west4,tpu-v3-64,64,19.2
europe-west4,tpu-v3-128,128,38.4
europe-west4,tpu-v3-256,256,76.8
europe-west4,tpu-v3-512,512,153.6
europe-west4,tpu-v3-1024,1024,307.2
europe-west4,tpu-v3-2048,2048,614.4
asia-east1,tpu-v2-8,5.22,1.566
